city,district,underground,total_meters,living_meters,kitchen_meters,rooms_count,floor,floors_count,house_material_type,finish_type,object_type,year_of_construction,price
Казань,Авиастроительный,Авиастроительная,10,,,0,3,5,unknown,unknown,flat,,2199000
Казань,Авиастроительный,Авиастроительная,12.7,,,0,2,3,unknown,unknown,flat,,2690000
Казань,Авиастроительный,Авиастроительная,12.7,,,0,2,3,unknown,unknown,flat,,2690000
Казань,Авиастроительный,Авиастроительная,16,,,0,3,3,unknown,unknown,flat,,2900000
Казань,Авиастроительный,Авиастроительная,16,,,0,1,5,unknown,unknown,flat,,3390000
Казань,Авиастроительный,Авиастроительная,18,,,0,5,5,unknown,unknown,flat,,3650000
Казань,Авиастроительный,Авиастроительная,23.5,,,1,1,5,unknown,unknown,flat,,3700000
Казань,Авиастроительный,Авиастроительная,23.5,,,1,1,5,unknown,unknown,flat,,3700000
Казань,Авиастроительный,Авиастроительная,19,,,1,3,5,unknown,unknown,flat,,4000000
Казань,Авиастроительный,Авиастроительная,29.2,,,1,7,9,unknown,unknown,flat,,4699000
Казань,Авиастроительный,Авиастроительная,29.2,,,1,7,9,unknown,unknown,flat,,4699000
Казань,Авиастроительный,Авиастроительная,39,,,1,1,9,unknown,unknown,flat,,5000000
Казань,Авиастроительный,Авиастроительная,34.7,,,1,6,9,unknown,unknown,flat,,5000000
Казань,Авиастроительный,Авиастроительная,38,,,1,2,2,unknown,unknown,flat,,5200000
Казань,Авиастроительный,Авиастроительная,63.9,,,2,2,2,unknown,unknown,flat,,5990000
Казань,Авиастроительный,Авиастроительная,63.9,,,2,2,2,unknown,unknown,flat,,5990000
Казань,Авиастроительный,Авиастроительная,41.5,,,2,2,9,unknown,unknown,flat,,6000000
Казань,Авиастроительный,Авиастроительная,41.5,,,2,2,9,unknown,unknown,flat,,6000000
Казань,Авиастроительный,Авиастроительная,41.5,,,2,2,9,unknown,unknown,flat,,6000000
Казань,Авиастроительный,Авиастроительная,39.9,,,1,6,9,unknown,unknown,flat,,6500000
Казань,Авиастроительный,Авиастроительная,52.4,,,3,2,2,unknown,unknown,flat,,6500000
Казань,Авиастроительный,Авиастроительная,50,,,2,2,5,unknown,unknown,flat,,7400000
Казань,Авиастроительный,Авиастроительная,50.1,,,2,4,9,unknown,unknown,flat,,7690000
Казань,Авиастроительный,Авиастроительная,47.7,,,1,11,16,unknown,unknown,flat,,8399999
Казань,Авиастроительный,Авиастроительная,30.95,,,0,2,15,unknown,unknown,flat,,8865000
Казань,Авиастроительный,Авиастроительная,44.5,,,1,8,10,unknown,unknown,flat,,9299900
Казань,Авиастроительный,Авиастроительная,44.5,,,1,8,10,unknown,unknown,flat,,9299900
Казань,Авиастроительный,Авиастроительная,33.51,,,0,8,13,unknown,unknown,flat,,9401186
Казань,Авиастроительный,Авиастроительная,33.51,,,0,8,13,unknown,unknown,flat,,9401186
Казань,Авиастроительный,Авиастроительная,33.11,,,0,5,13,unknown,unknown,flat,,9491281
Казань,Авиастроительный,Авиастроительная,52,,,2,1,15,unknown,unknown,flat,,10170000
Казань,Авиастроительный,Авиастроительная,51.2,,,2,4,6,unknown,unknown,flat,,10500000
Казань,Авиастроительный,Авиастроительная,51.2,,,2,4,6,unknown,unknown,flat,,10500000
Казань,Авиастроительный,Авиастроительная,51.2,,,2,4,6,unknown,unknown,flat,,10500000
Казань,Авиастроительный,Авиастроительная,45.63,,,1,8,13,unknown,unknown,flat,,10722354
Казань,Авиастроительный,Авиастроительная,45.63,,,1,8,13,unknown,unknown,flat,,10722354
Казань,Авиастроительный,Авиастроительная,63.1,,,2,4,10,unknown,unknown,flat,,11490000
Казань,Авиастроительный,Авиастроительная,63.1,,,2,4,10,unknown,unknown,flat,,11490000
Казань,Авиастроительный,Авиастроительная,45.21,,,1,6,13,unknown,unknown,flat,,11498566
